IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
162.158.162.248,2023-09-22,02:33:55 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
172.71.186.76,2023-09-22,08:35:20 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.95.131,2023-09-22,08:45:30 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.22.145,2023-09-22,10:42:24 UTC,["necessary"],mobile,en,Facebook,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.111.134,2023-09-22,10:53:29 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.68.51.137,2023-09-22,11:17:06 UTC,["necessary"],desktop,en,Chrome,Windows,Austria,9,Vienna,Vienna,,48.2081,16.3738
172.71.218.252,2023-09-22,11:32:08 UTC,["necessary"],desktop,en,Chrome,Windows,Hong Kong,HCW,Central and Western District,Hong Kong,,22.3193,114.1693
172.70.251.123,2023-09-22,12:56:54 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.246.25,2023-09-22,12:58:56 UTC,["necessary"],mobile,en,Chrome,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.147.107,2023-09-22,13:19:48 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.22.123,2023-09-22,13:34:32 UTC,["necessary"],mobile,hi,Facebook,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.87.78,2023-09-22,13:47:37 UTC,["necessary"],mobile,hi,Facebook,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.170.163,2023-09-22,15:05:16 UTC,["necessary"],mobile,en,Facebook,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.94.107,2023-09-22,15:33:05 UTC,["necessary"],mobile,en,Facebook,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
141.101.76.9,2023-09-22,15:50:58 UTC,["necessary"],desktop,en,Chrome,Windows,Netherlands,NH,North Holland,Amsterdam,,52.3675,4.9041
172.71.160.91,2023-09-22,16:22:45 UTC,["necessary"],mobile,en,Facebook,Android,Germany,NW,North Rhine-Westphalia,Düsseldorf,,51.2277,6.7734
108.162.227.126,2023-09-22,16:54:45 UTC,["necessary"],mobile,en,Facebook,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.23.49,2023-09-22,16:59:33 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.170.219,2023-09-22,17:18:41 UTC,["necessary"],mobile,en,Instagram,Android,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.56.152,2023-09-22,17:22:51 UTC,["necessary"],mobile,en,Facebook,Android,United Arab Emirates,DU,Dubai,Dubai,,25.2048,55.2707
172.70.247.159,2023-09-22,17:31:55 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.110.129,2023-09-22,17:32:52 UTC,["necessary"],mobile,en,Chrome,iOS,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.71.186.218,2023-09-22,18:35:31 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.22.138,2023-09-22,18:35:35 UTC,["necessary"],desktop,en,Chrome,Windows,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.68.167.141,2023-09-22,19:21:50 UTC,["necessary"],mobile,en,Instagram,iOS,India,TG,Telangana,Hyderabad,,17.385,78.4866
162.158.106.155,2023-09-22,20:01:16 UTC,["necessary"],mobile,en,Instagram,iOS,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.22.157,2023-09-22,20:22:03 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.69.86.45,2023-09-22,20:34:32 UTC,["necessary"],mobile,en,Instagram,Android,India,MH,Maharashtra,Mumbai,,19.0759,72.8776
172.69.87.111,2023-09-22,20:48:25 UTC,["necessary"],mobile,en,Instagram,Android,India,MH,Maharashtra,Mumbai,,19.0759,72.8776
172.70.189.34,2023-09-22,20:51:28 UTC,["necessary"],mobile,en,Instagram,iOS,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.94.29,2023-09-22,20:56:31 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.247.46,2023-09-22,20:59:30 UTC,["necessary"],mobile,en,Vivo Browser,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.22.157,2023-09-22,21:33:48 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.129.237,2023-09-22,21:36:42 UTC,["necessary"],mobile,en,Chrome,Android,Italy,25,Lombardy,Milan,,45.4642,9.1899
162.158.2.103,2023-09-22,21:50:20 UTC,["necessary"],mobile,en,Instagram,Android,Australia,VIC,Victoria,Melbourne,,-37.8136,144.963
